Pas File Name,Wellbore UWI,License Number,Formatted UWI,Producing Zone,Fluid,Fluid Desc,Interval Top TVD (m),Interval Bottom TVD (m),Interval Top Log,Interval Bottom Log,Test Purpose,Test Type,Test Type Desc,Initial Tubing Pressure (kPa),Final Tubing Pressure (kPa),Initial Casing Pressure (kPa),Final Casing Pressure (kPa),Surface Temperature (C),Well Shut In Date,Final Test Date,Test Duration Hours,Reservoir Temperature (C),Gauge Run Depth TVD (m),Gauge Run Depth TMD (m),Last Measured Pressure at Run Depth (kPa),Pressure Correction (kPa),Representative Pressure at MPP (kPa),Reservoir Pressure Gradient (kPa/m),Representative Average Reservoir Pressure (kPa),Liquid Level CF TVD (m),Gas Gradient (kPa/m),Liquid Gradient (kPa/m)
7160757_100-15-33-057-20W5-GRD-CARDIUM-2010-07-12.pas,100153305720W500,0414192,100/15-33-057-20W5/00,Cardium,01,Oil,1769.31,1761.12,1951.0,2790.0,I,03,Bottom Hole - Static Gradient,93.0,3823.0,93.0,7093.0,,2010-06-27,2010-07-12,504,63.31,1707.82,1734.0,15155.57,405.79,15561.36,9.11182399892935,,172.81,0.053,7.509
7476512_GRD-(16-16-056-19W5) - AWS - 2013-07-26.PAS,100161605619W500,0053638,100/16-16-056-19W5/00,2WS,01,Oil,2252.5,2267.7,2252.5,2267.7,A,10,AWS - Single-Shot (Static),,99.0,,1330.0,1.1,2013-07-26,2014-09-29,10320,77.0,,,,,1806.04,,,2232.04,0.137,7.43
6998041_102-01-12-064-20W5-0-SG-2008-09-12.PAS,102011206420W500,0395154,102/01-12-064-20W5/00,NOTIKEWIN,02,Gas,1511.5,1515.5,1511.5,1515.5,I,03,Bottom Hole - Static Gradient,459.0,443.0,522.0,462.0,,2008-08-20,2008-09-12,0,62.0,,1508.0,519.39,,519.12,,,,,
000000195322200.PAS,102100205918W502,273210,102/10-02-059-18W5/02,Notikewin,02,Gas,1929.41,1942.88,1929.5,1943.0,Y,03,Bottom Hole - Static Gradient,12808.0,11514.0,12808.0,11748.0,,2002-12-07,2002-12-15,0,72.42,1957.12,,14059.61,,,5.97,,1903.51,,
000000222763700.PAS,102100205918W502,273210,102/10-02-059-18W5/02,Notikewin,02,Gas,1929.4,1942.9,1929.5,1943.0,Y,03,Bottom Hole - Static Gradient,2629.0,7207.0,287.0,7342.0,,2003-05-21,2003-06-08,528,73.1,1939.3,,8584.46,,,6.485,,1924.97,,
000000195323400.PAS,102100205918W502,273210,102/10-02-059-18W5/02,Notikewin,02,Gas,1929.41,1942.88,1929.5,1943.0,Y,03,Bottom Hole - Static Gradient,11514.0,12276.0,11748.0,12564.0,,2002-12-07,2003-01-02,0,72.62,1957.12,,15132.24,,,5.97,,1892.61,,
000000195042400.PAS,102100205918W502,273210,102/10-02-059-18W5/02,Notikewin,02,Gas,1929.4,1942.9,1929.5,1943.0,Y,03,Bottom Hole - Static Gradient,12780.0,12808.0,12780.0,12808.0,,2002-11-28,2002-12-03,0,71.9,1936.3,,15754.85,,,7.574,,1871.14,,
000000187052800.PAS,102100205918W502,273210,102/10-02-059-18W5/02,Notikewin,02,Gas,1929.5,1943.0,1929.5,1943.0,Y,03,Bottom Hole - Static Gradient,12780.0,12808.0,12780.0,12808.0,-8.0,2002-12-03,2002-12-03,0,71.9,1936.3,,15754.85,,,7.574,,1871.14,,
000000067499400.PAS,102100705318W500,149762,102/10-07-053-18W5/00,SECOND WHITE SPECKLED SH,02,Gas,2232.0,2247.0,2232.0,2247.0,Y,03,Bottom Hole - Static Gradient,113.0,,4983.0,,20.65,1996-07-01,2000-08-03,0,73.49,2239.5,,6003.14,,,6.994,,1448.51,,
7076449_Nal Resources Ltd 102-10-07-053-18-W5-00 #9018sg.pas,102100705318W500,0149762,102/10-07-053-18W5/00,SECOND WHITE SPECKS,02,Gas,2232.0,2247.0,2232.0,2247.0,A,03,Bottom Hole - Static Gradient,1591.0,1771.0,2247.0,2252.0,28.83,2009-05-29,2009-06-13,0,73.17,,2234.75,2609.04,0.0,2609.04,,,,0.179,7.5
6683068_NAL 102-10-07-053-18W5-00-SEC WHITE SPECS-SGO-2005-12-30.pas,102100705318W500,149762,102/10-07-053-18W5/00,Second White Specks ,02,Gas,2232.0,2247.0,2232.0,2247.0,A,03,Bottom Hole - Static Gradient,1840.0,1840.0,2547.0,2554.0,6.0,2005-12-13,2005-12-30,0,73.0,,2250.0,3128.63,-149.39,2979.24,,,,0.179,7.419
